Temp (Celsius),Pressure (PSI),Mass Extruded (mg/s)
100,30,0.088888889
100,35,0.094444444
100,40,0.1
100,45,0.133333333
100,50,0.116666667
100,55,0.138888889
100,60,0.144444444
100,65,0.15
100,70,0.172222222
100,75,0.194444444
100,80,0.216666667
100,85,0.222222222
100,90,0.238888889
100,95,0.255555556
100,100,0.277777778
100,105,0.3
100,110,0.322222222
100,115,0.344444444
100,120,0.327777778
90,30,0.055555556
90,35,0.083333333
90,40,0.083333333
90,45,0.088888889
90,50,0.1
90,55,0.116666667
90,60,0.138888889
90,65,0.144444444
90,70,0.15
90,75,0.166666667
90,80,0.166666667
90,85,0.177777778
90,90,0.183333333
90,95,0.205555556
90,100,0.211111111
90,105,0.227777778
90,110,0.233333333
90,115,0.272222222
90,120,0.277777778
80,30,0.016666667
80,35,0.027777778
80,40,0.038888889
80,45,0.055555556
80,50,0.072222222
80,55,0.077777778
80,60,0.094444444
80,65,0.1
80,70,0.111111111
80,75,0.116666667
80,80,0.122222222
80,85,0.133333333
80,90,0.144444444
80,95,0.15
80,100,0.161111111
80,105,0.172222222
80,110,0.188888889
80,115,0.194444444
80,120,0.2
70,30,0
70,35,0
70,40,0.011111111
70,45,0.022222222
70,50,0.038888889
70,55,0.044444444
70,60,0.055555556
70,65,0.066666667
70,70,0.072222222
70,75,0.083333333
70,80,0.1
70,85,0.1
70,90,0.105555556
70,95,0.111111111
70,100,0.116666667
70,105,0.122222222
70,110,0.138888889
70,115,0.138888889
70,120,0.138888889
110,30,0.083333333
110,35,0.1
110,40,0.116666667
110,45,0.133333333
110,50,0.15
110,55,0.166666667
110,60,0.177777778
110,65,0.194444444
110,70,0.211111111
110,75,0.227777778
110,80,0.238888889
110,85,0.261111111
110,90,0.283333333
110,95,0.305555556
110,100,0.322222222
110,105,0.344444444
110,110,0.372222222
110,115,0.394444444
110,120,0.411111111
120,30,0.122222222
120,35,0.144444444
120,40,0.172222222
120,45,0.194444444
120,50,0.216666667
120,55,0.244444444
120,60,0.277777778
120,65,0.327777778
120,70,0.35
120,75,0.377777778
120,80,0.411111111
120,85,0.444444444
120,90,0.472222222
120,95,0.494444444
120,100,0.516666667
120,105,0.516666667
120,110,0.55
120,115,0.561111111
120,120,0.6
130,30,0.155555556
130,35,0.183333333
130,40,0.205555556
130,45,0.233333333
130,50,0.261111111
130,55,0.283333333
130,60,0.311111111
130,65,0.333333333
130,70,0.388888889
130,75,0.416666667
130,80,0.45
130,85,0.477777778
130,90,0.5
130,95,0.538888889
130,100,0.561111111
130,105,0.6
130,110,0.627777778
130,115,0.644444444
130,120,0.627777778
